Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.49,30.642857,30.34,30.572857,27.613066,123432400
2010-01-05,30.657143,30.798571,30.464285,30.625713,27.660807,150476200
2010-01-06,30.625713,30.747143,30.107143,30.138571,27.220825,138040000
2010-01-07,30.25,30.285715,29.864286,30.082857,27.170504,119282800
2010-01-08,30.042856,30.285715,29.865715,30.282858,27.351143,111902700
2010-01-11,30.4,30.428572,29.778572,30.015715,27.109863,115557400
2010-01-12,29.884285,29.967142,29.488571,29.674286,26.801487,148614900
2010-01-13,29.695715,30.132856,29.157143,30.092857,27.179537,151473000
2010-01-14,30.015715,30.065714,29.860001,29.918571,27.022121,108223500
2010-01-15,30.132856,30.228571,29.41,29.418571,26.570528,148516900
2010-01-19,29.761429,30.741428,29.605715,30.719999,27.745962,182501900
2010-01-20,30.701429,30.792856,29.928572,30.247143,27.31889,153038200
2010-01-21,30.297142,30.472857,29.601429,29.724285,26.846643,152038600
2010-01-22,29.540001,29.642857,28.165714,28.25,25.515087,220441900
2010-01-25,28.93,29.242857,28.598572,29.01,26.201517,266424900
2010-01-26,29.421429,30.530001,28.940001,29.42,26.571819,466777500
2010-01-27,29.549999,30.082857,28.504286,29.697144,26.822136,430642100
2010-01-28,29.275715,29.357143,28.385714,28.469999,25.713791,293375600
2010-01-29,28.725714,28.885714,27.178572,27.437143,24.780926,311488100
2010-02-01,27.481428,28.0,27.328571,27.818571,25.125425,187469100
2010-02-02,27.987143,28.045713,27.625713,27.98,25.271231,174585600
2010-02-03,27.881428,28.6,27.774286,28.461428,25.706045,153832000
2010-02-04,28.104286,28.338572,27.367144,27.435715,24.779634,189413000
2010-02-05,27.518572,28.0,27.264286,27.922857,25.219614,212576700
2010-02-08,27.955715,28.268572,27.714285,27.731428,25.046721,119567700
2010-02-09,28.059999,28.214285,27.821428,28.027143,25.313808,158221700
2010-02-10,27.984285,28.085714,27.751429,27.874287,25.175749,92590400
2010-02-11,27.84,28.535715,27.722857,28.381428,25.633789,137586400
2010-02-12,28.301428,28.805714,27.928572,28.625713,25.854427,163867200
2010-02-16,28.848572,29.098572,28.788572,29.057142,26.244091,135934400
2010-02-17,29.17,29.187143,28.694286,28.935715,26.134418,109099200
2010-02-18,28.804285,29.127142,28.702858,28.99,26.183453,105706300
2010-02-19,28.837143,29.028572,28.73,28.809999,26.020874,103867400
2010-02-22,28.905714,28.928572,28.455715,28.631428,25.859591,97640900
2010-02-23,28.571428,28.761429,27.95857,28.151428,25.426058,143773700
2010-02-24,28.318571,28.777143,28.262857,28.665714,25.890553,115141600
2010-02-25,28.197144,28.98,28.127142,28.857143,26.063454,166281500
2010-02-26,28.911428,29.309999,28.857143,29.231428,26.401501,126865200
2010-03-01,29.392857,29.928572,29.35,29.855715,26.965353,137523400
2010-03-02,29.99,30.118572,29.677143,29.835714,26.947287,141636600
2010-03-03,29.848572,29.981428,29.705715,29.904285,27.00922,93013200
2010-03-04,29.897142,30.131428,29.804285,30.101429,27.187279,91510300
